time,V(2)
5.800000000e-04,4.401029479e+00
5.900000000e-04,4.456740391e+00
6.000000000e-04,4.511896968e+00
6.100000000e-04,4.566504725e+00
6.200000000e-04,4.620569124e+00
6.300000000e-04,4.674095571e+00
6.400000000e-04,4.727089419e+00
6.500000000e-04,4.779555968e+00
6.600000000e-04,4.831500463e+00
6.700000000e-04,4.882928100e+00
6.800000000e-04,4.933844021e+00
6.900000000e-04,4.984253318e+00
7.000000000e-04,5.034161032e+00
7.100000000e-04,5.083572155e+00
7.200000000e-04,5.132491626e+00
7.300000000e-04,5.180924339e+00
7.400000000e-04,5.228875136e+00
7.500000000e-04,5.276348813e+00
7.600000000e-04,5.323350117e+00
7.700000000e-04,5.369883748e+00
7.800000000e-04,5.415954360e+00
7.900000000e-04,5.461566560e+00
8.000000000e-04,5.506724909e+00
8.100000000e-04,5.551433923e+00
8.200000000e-04,5.595698073e+00
8.300000000e-04,5.639521786e+00
8.400000000e-04,5.682909444e+00
8.500000000e-04,5.725865386e+00
8.600000000e-04,5.768393907e+00
8.700000000e-04,5.810499261e+00
8.800000000e-04,5.852185658e+00
8.900000000e-04,5.893457266e+00
9.000000000e-04,5.934318214e+00
9.100000000e-04,5.974772586e+00
9.200000000e-04,6.014824430e+00
9.300000000e-04,6.054477749e+00
9.400000000e-04,6.093736509e+00
9.500000000e-04,6.132604637e+00
9.600000000e-04,6.171086019e+00
9.700000000e-04,6.209184503e+00
9.800000000e-04,6.246903899e+00
9.900000000e-04,6.284247980e+00
1.000000000e-03,6.321220479e+00
1.010000000e-03,6.357825094e+00
1.020000000e-03,6.394065486e+00
1.030000000e-03,6.429945278e+00
1.040000000e-03,6.465468060e+00
1.050000000e-03,6.500637382e+00
1.060000000e-03,6.535456762e+00
1.070000000e-03,6.569929682e+00
1.080000000e-03,6.604059589e+00
1.090000000e-03,6.637849897e+00
1.100000000e-03,6.671303984e+00
1.110000000e-03,6.704425196e+00
1.120000000e-03,6.737216845e+00
1.130000000e-03,6.769682211e+00
1.140000000e-03,6.801824540e+00
1.150000000e-03,6.833647045e+00
1.160000000e-03,6.865152910e+00
1.170000000e-03,6.896345286e+00
1.180000000e-03,6.927227291e+00
1.190000000e-03,6.957802013e+00
1.200000000e-03,6.988072511e+00
1.210000000e-03,7.018041811e+00
1.220000000e-03,7.047712910e+00
1.230000000e-03,7.077088776e+00
1.240000000e-03,7.106172345e+00
1.250000000e-03,7.134966528e+00
1.260000000e-03,7.163474202e+00
1.270000000e-03,7.191698219e+00
1.280000000e-03,7.219641401e+00
1.290000000e-03,7.247306543e+00
1.300000000e-03,7.274696410e+00
1.310000000e-03,7.301813743e+00
1.320000000e-03,7.328661253e+00
1.330000000e-03,7.355241625e+00
1.340000000e-03,7.381557517e+00
1.350000000e-03,7.407611559e+00
1.360000000e-03,7.433406359e+00
1.370000000e-03,7.458944496e+00
1.380000000e-03,7.484228522e+00
1.390000000e-03,7.509260967e+00
1.400000000e-03,7.534044335e+00
1.410000000e-03,7.558581102e+00
1.420000000e-03,7.582873724e+00
1.430000000e-03,7.606924629e+00
1.440000000e-03,7.630736223e+00
1.450000000e-03,7.654310886e+00
1.460000000e-03,7.677650977e+00
1.470000000e-03,7.700758829e+00
1.480000000e-03,7.723636753e+00
1.490000000e-03,7.746287037e+00
1.500000000e-03,7.768711946e+00
1.510000000e-03,7.790913723e+00
1.520000000e-03,7.812894587e+00
1.530000000e-03,7.834656737e+00
1.540000000e-03,7.856202349e+00
1.550000000e-03,7.877533578e+00
1.560000000e-03,7.898652557e+00
1.570000000e-03,7.919561398e+00
1.580000000e-03,7.940262191e+00
1.590000000e-03,7.960757007e+00
1.600000000e-03,7.981047896e+00
1.610000000e-03,8.001136886e+00
1.620000000e-03,8.021025986e+00
1.630000000e-03,8.040717186e+00
1.640000000e-03,8.060212454e+00
1.650000000e-03,8.079513740e+00
1.660000000e-03,8.098622975e+00
1.670000000e-03,8.117542069e+00
1.680000000e-03,8.136272913e+00
1.690000000e-03,8.154817382e+00
1.700000000e-03,8.173177330e+00
1.710000000e-03,8.191354593e+00
1.720000000e-03,8.209350988e+00
1.730000000e-03,8.227168315e+00
1.740000000e-03,8.244808356e+00
1.750000000e-03,8.262272875e+00
1.760000000e-03,8.279563618e+00
1.770000000e-03,8.296682315e+00
1.780000000e-03,8.313630678e+00
1.790000000e-03,8.330410400e+00
1.800000000e-03,8.347023161e+00
1.810000000e-03,8.363470622e+00
1.820000000e-03,8.379754427e+00
1.830000000e-03,8.395876205e+00
1.840000000e-03,8.411837567e+00
1.850000000e-03,8.427640111e+00
1.860000000e-03,8.443285417e+00
1.870000000e-03,8.458775048e+00
1.880000000e-03,8.474110554e+00
1.890000000e-03,8.489293469e+00
1.900000000e-03,8.504325311e+00
1.910000000e-03,8.519207582e+00
1.920000000e-03,8.533941772e+00
1.930000000e-03,8.548529354e+00
1.940000000e-03,8.562971787e+00
1.950000000e-03,8.577270514e+00
1.960000000e-03,8.591426966e+00
1.970000000e-03,8.605442558e+00
1.980000000e-03,8.619318692e+00
1.990000000e-03,8.633056756e+00
2.000000000e-03,8.646658124e+00
2.010000000e-03,8.660124154e+00
2.020000000e-03,8.673456196e+00
2.030000000e-03,8.686655580e+00
2.040000000e-03,8.699723628e+00
2.050000000e-03,8.712661646e+00
2.060000000e-03,8.725470929e+00
2.070000000e-03,8.738152756e+00
2.080000000e-03,8.750708396e+00
2.090000000e-03,8.763139105e+00
2.100000000e-03,8.775446126e+00
2.110000000e-03,8.787630690e+00
2.120000000e-03,8.799694015e+00
2.130000000e-03,8.811637307e+00
2.140000000e-03,8.823461761e+00
2.150000000e-03,8.835168559e+00
2.160000000e-03,8.846758873e+00
2.170000000e-03,8.858233860e+00
