Time(s),Switch State,V1(V),V2(V),V3(V),Capacitor Voltage(V)
0.006800,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006850,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006900,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.006950,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007000,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007050,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007100,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007150,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007200,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007250,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007300,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007350,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007400,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007450,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007500,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007550,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007600,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007650,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007700,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007750,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007800,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007850,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007900,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.007950,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008000,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008050,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008100,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008150,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008200,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008250,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008300,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008350,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008400,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008450,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008500,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008550,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008600,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008650,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008700,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008750,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008800,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008850,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008900,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.008950,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009000,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009050,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009100,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009150,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009200,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009250,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009300,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009350,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009400,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009450,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009500,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009550,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009600,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009650,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009700,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009750,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009800,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009850,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009900,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.009950,OPEN,-5.000000,-4.732322,-4.732322,-4.732322
0.010000,CLOSED,-5.000000,-5.000000,-4.745068,-4.745068
0.010050,CLOSED,-5.000000,-5.000000,-4.757208,-4.757208
0.010100,CLOSED,-5.000000,-5.000000,-4.768769,-4.768769
0.010150,CLOSED,-5.000000,-5.000000,-4.779780,-4.779780
0.010200,CLOSED,-5.000000,-5.000000,-4.790267,-4.790267
0.010250,CLOSED,-5.000000,-5.000000,-4.800254,-4.800254
0.010300,CLOSED,-5.000000,-5.000000,-4.809766,-4.809766
0.010350,CLOSED,-5.000000,-5.000000,-4.818825,-4.818825
0.010400,CLOSED,-5.000000,-5.000000,-4.827452,-4.827452
0.010450,CLOSED,-5.000000,-5.000000,-4.835669,-4.835669
0.010500,CLOSED,-5.000000,-5.000000,-4.843494,-4.843494
0.010550,CLOSED,-5.000000,-5.000000,-4.850947,-4.850947
0.010600,CLOSED,-5.000000,-5.000000,-4.858044,-4.858044
0.010650,CLOSED,-5.000000,-5.000000,-4.864804,-4.864804
0.010700,CLOSED,-5.000000,-5.000000,-4.871242,-4.871242
0.010750,CLOSED,-5.000000,-5.000000,-4.877373,-4.877373
0.010800,CLOSED,-5.000000,-5.000000,-4.883213,-4.883213
0.010850,CLOSED,-5.000000,-5.000000,-4.888774,-4.888774
0.010900,CLOSED,-5.000000,-5.000000,-4.894070,-4.894070
0.010950,CLOSED,-5.000000,-5.000000,-4.899115,-4.899115
0.011000,CLOSED,-5.000000,-5.000000,-4.903919,-4.903919
0.011050,CLOSED,-5.000000,-5.000000,-4.908494,-4.908494
0.011100,CLOSED,-5.000000,-5.000000,-4.912852,-4.912852
0.011150,CLOSED,-5.000000,-5.000000,-4.917001,-4.917001
0.011200,CLOSED,-5.000000,-5.000000,-4.920954,-4.920954
0.011250,CLOSED,-5.000000,-5.000000,-4.924718,-4.924718
0.011300,CLOSED,-5.000000,-5.000000,-4.928303,-4.928303
0.011350,CLOSED,-5.000000,-5.000000,-4.931717,-4.931717
0.011400,CLOSED,-5.000000,-5.000000,-4.934968,-4.934968
0.011450,CLOSED,-5.000000,-5.000000,-4.938065,-4.938065
0.011500,CLOSED,-5.000000,-5.000000,-4.941014,-4.941014
0.011550,CLOSED,-5.000000,-5.000000,-4.943823,-4.943823
0.011600,CLOSED,-5.000000,-5.000000,-4.946498,-4.946498
0.011650,CLOSED,-5.000000,-5.000000,-4.949046,-4.949046
0.011700,CLOSED,-5.000000,-5.000000,-4.951472,-4.951472
0.011750,CLOSED,-5.000000,-5.000000,-4.953783,-4.953783
0.011800,CLOSED,-5.000000,-5.000000,-4.955984,-4.955984
0.011850,CLOSED,-5.000000,-5.000000,-4.958080,-4.958080
0.011900,CLOSED,-5.000000,-5.000000,-4.960076,-4.960076
0.011950,CLOSED,-5.000000,-5.000000,-4.961977,-4.961977
0.012000,CLOSED,-5.000000,-5.000000,-4.963788,-4.963788
0.012050,CLOSED,-5.000000,-5.000000,-4.965512,-4.965512
0.012100,CLOSED,-5.000000,-5.000000,-4.967155,-4.967155
0.012150,CLOSED,-5.000000,-5.000000,-4.968719,-4.968719
0.012200,CLOSED,-5.000000,-5.000000,-4.970208,-4.970208
0.012250,CLOSED,-5.000000,-5.000000,-4.971627,-4.971627
0.012300,CLOSED,-5.000000,-5.000000,-4.972978,-4.972978
0.012350,CLOSED,-5.000000,-5.000000,-4.974265,-4.974265
0.012400,CLOSED,-5.000000,-5.000000,-4.975490,-4.975490
0.012450,CLOSED,-5.000000,-5.000000,-4.976657,-4.976657
0.012500,CLOSED,-5.000000,-5.000000,-4.977769,-4.977769
0.012550,CLOSED,-5.000000,-5.000000,-4.978828,-4.978828
0.012600,CLOSED,-5.000000,-5.000000,-4.979836,-4.979836
0.012650,CLOSED,-5.000000,-5.000000,-4.980796,-4.980796
0.012700,CLOSED,-5.000000,-5.000000,-4.981710,-4.981710
0.012750,CLOSED,-5.000000,-5.000000,-4.982581,-4.982581
0.012800,CLOSED,-5.000000,-5.000000,-4.983411,-4.983411
0.012850,CLOSED,-5.000000,-5.000000,-4.984201,-4.984201
0.012900,CLOSED,-5.000000,-5.000000,-4.984953,-4.984953
0.012950,CLOSED,-5.000000,-5.000000,-4.985670,-4.985670
0.013000,CLOSED,-5.000000,-5.000000,-4.986352,-4.986352
0.013050,CLOSED,-5.000000,-5.000000,-4.987002,-4.987002
0.013100,CLOSED,-5.000000,-5.000000,-4.987621,-4.987621
0.013150,CLOSED,-5.000000,-5.000000,-4.988210,-4.988210
0.013200,CLOSED,-5.000000,-5.000000,-4.988772,-4.988772
0.013250,CLOSED,-5.000000,-5.000000,-4.989306,-4.989306
0.013300,CLOSED,-5.000000,-5.000000,-4.989816,-4.989816
0.013350,CLOSED,-5.000000,-5.000000,-4.990301,-4.990301
