Time,Input,Output,DiodeCurrent
0.000020,0.623549,-1.291901,-0.001292
0.000020,0.626666,-1.295004,-0.001295
0.000020,0.629783,-1.298107,-0.001298
0.000020,0.632899,-1.301209,-0.001301
0.000020,0.636016,-1.304312,-0.001304
0.000020,0.639131,-1.307414,-0.001307
0.000021,0.642247,-1.310515,-0.001311
0.000021,0.645363,-1.313617,-0.001314
0.000021,0.648478,-1.316718,-0.001317
0.000021,0.651593,-1.319819,-0.001320
0.000021,0.654707,-1.322920,-0.001323
0.000021,0.657822,-1.326020,-0.001326
0.000021,0.660936,-1.329121,-0.001329
0.000021,0.664050,-1.332221,-0.001332
0.000021,0.667163,-1.335320,-0.001335
0.000021,0.670277,-1.338420,-0.001338
0.000021,0.673390,-1.341519,-0.001342
0.000022,0.676503,-1.344618,-0.001345
0.000022,0.679615,-1.347717,-0.001348
0.000022,0.682728,-1.350815,-0.001351
0.000022,0.685840,-1.353913,-0.001354
0.000022,0.688951,-1.357011,-0.001357
0.000022,0.692063,-1.360109,-0.001360
0.000022,0.695174,-1.363206,-0.001363
0.000022,0.698285,-1.366303,-0.001366
0.000022,0.701396,-1.369400,-0.001369
0.000022,0.704506,-1.372496,-0.001372
0.000023,0.707616,-1.375592,-0.001376
0.000023,0.710726,-1.378688,-0.001379
0.000023,0.713836,-1.381784,-0.001382
0.000023,0.716945,-1.384879,-0.001385
0.000023,0.720054,-1.387974,-0.001388
0.000023,0.723163,-1.391069,-0.001391
0.000023,0.726271,-1.394164,-0.001394
0.000023,0.729379,-1.397258,-0.001397
0.000023,0.732487,-1.400352,-0.001400
0.000023,0.735595,-1.403446,-0.001403
0.000024,0.738702,-1.406539,-0.001407
0.000024,0.741809,-1.409632,-0.001410
0.000024,0.744915,-1.412725,-0.001413
0.000024,0.748022,-1.415817,-0.001416
0.000024,0.751128,-1.418910,-0.001419
0.000024,0.754234,-1.422002,-0.001422
0.000024,0.757339,-1.425093,-0.001425
0.000024,0.760444,-1.428185,-0.001428
0.000024,0.763549,-1.431276,-0.001431
0.000024,0.766654,-1.434366,-0.001434
0.000025,0.769758,-1.437457,-0.001437
0.000025,0.772862,-1.440547,-0.001441
0.000025,0.775966,-1.443637,-0.001444
0.000025,0.779069,-1.446726,-0.001447
0.000025,0.782172,-1.449815,-0.001450
0.000025,0.785275,-1.452904,-0.001453
0.000025,0.788378,-1.455993,-0.001456
0.000025,0.791480,-1.459081,-0.001459
0.000025,0.794581,-1.462169,-0.001462
0.000025,0.797683,-1.465257,-0.001465
0.000026,0.800784,-1.468344,-0.001468
0.000026,0.803885,-1.471431,-0.001471
0.000026,0.806986,-1.474518,-0.001475
0.000026,0.810086,-1.477604,-0.001478
0.000026,0.813186,-1.480690,-0.001481
0.000026,0.816285,-1.483776,-0.001484
0.000026,0.819385,-1.486861,-0.001487
0.000026,0.822484,-1.489947,-0.001490
0.000026,0.825582,-1.493031,-0.001493
0.000027,0.828681,-1.496116,-0.001496
0.000027,0.831779,-1.499200,-0.001499
0.000027,0.834876,-1.502284,-0.001502
0.000027,0.837974,-1.505367,-0.001505
0.000027,0.841071,-1.508450,-0.001508
0.000027,0.844167,-1.511533,-0.001512
0.000027,0.847264,-1.514616,-0.001515
0.000027,0.850360,-1.517698,-0.001518
0.000027,0.853455,-1.520780,-0.001521
0.000027,0.856551,-1.523861,-0.001524
0.000027,0.859646,-1.526942,-0.001527
0.000028,0.862740,-1.530023,-0.001530
0.000028,0.865834,-1.533104,-0.001533
0.000028,0.868928,-1.536184,-0.001536
0.000028,0.872022,-1.539264,-0.001539
0.000028,0.875115,-1.542343,-0.001542
0.000028,0.878208,-1.545422,-0.001545
0.000028,0.881301,-1.548501,-0.001549
0.000028,0.884393,-1.551579,-0.001552
0.000028,0.887485,-1.554657,-0.001555
0.000028,0.890576,-1.557735,-0.001558
0.000029,0.893668,-1.560812,-0.001561
0.000029,0.896758,-1.563889,-0.001564
0.000029,0.899849,-1.566966,-0.001567
0.000029,0.902939,-1.570042,-0.001570
0.000029,0.906029,-1.573118,-0.001573
0.000029,0.909118,-1.576194,-0.001576
0.000029,0.912207,-1.579269,-0.001579
0.000029,0.915296,-1.582344,-0.001582
0.000029,0.918384,-1.585419,-0.001585
0.000029,0.921472,-1.588493,-0.001588
0.000030,0.924560,-1.591567,-0.001592
0.000030,0.927647,-1.594640,-0.001595
0.000030,0.930734,-1.597713,-0.001598
0.000030,0.933820,-1.600786,-0.001601
0.000030,0.936907,-1.603858,-0.001604
0.000030,0.939992,-1.606930,-0.001607
0.000030,0.943078,-1.610002,-0.001610
0.000030,0.946163,-1.613073,-0.001613
0.000030,0.949247,-1.616144,-0.001616
0.000030,0.952332,-1.619214,-0.001619
0.000031,0.955416,-1.622284,-0.001622
0.000031,0.958499,-1.625354,-0.001625
0.000031,0.961582,-1.628424,-0.001628
0.000031,0.964665,-1.631493,-0.001631
0.000031,0.967747,-1.634561,-0.001635
0.000031,0.970829,-1.637629,-0.001638
0.000031,0.973911,-1.640697,-0.001641
0.000031,0.976992,-1.643765,-0.001644
0.000031,0.980073,-1.646832,-0.001647
0.000031,0.983153,-1.649898,-0.001650
0.000032,0.986234,-1.652965,-0.001653
0.000032,0.989313,-1.656031,-0.001656
0.000032,0.992393,-1.659096,-0.001659
0.000032,0.995471,-1.662161,-0.001662
0.000032,0.998550,-1.665226,-0.001665
0.000032,1.001628,-1.668290,-0.001668
0.000032,1.004706,-1.671354,-0.001671
0.000032,1.007783,-1.674418,-0.001674
0.000032,1.010860,-1.677481,-0.001677
0.000032,1.013936,-1.680544,-0.001681
0.000033,1.017013,-1.683606,-0.001684
0.000033,1.020088,-1.686668,-0.001687
0.000033,1.023164,-1.689730,-0.001690
0.000033,1.026239,-1.692791,-0.001693
0.000033,1.029313,-1.695852,-0.001696
0.000033,1.032387,-1.698912,-0.001699
0.000033,1.035461,-1.701972,-0.001702
0.000033,1.038534,-1.705032,-0.001705
0.000033,1.041607,-1.708091,-0.001708
0.000034,1.044679,-1.711150,-0.001711
0.000034,1.047752,-1.714208,-0.001714
0.000034,1.050823,-1.717266,-0.001717
0.000034,1.053894,-1.720323,-0.001720
0.000034,1.056965,-1.723380,-0.001723
0.000034,1.060036,-1.726437,-0.001726
0.000034,1.063106,-1.729493,-0.001729
0.000034,1.066175,-1.732549,-0.001733
0.000034,1.069244,-1.735605,-0.001736
0.000034,1.072313,-1.738660,-0.001739
0.000034,1.075381,-1.741714,-0.001742
0.000035,1.078449,-1.744768,-0.001745
0.000035,1.081516,-1.747822,-0.001748
0.000035,1.084583,-1.750875,-0.001751
0.000035,1.087650,-1.753928,-0.001754
0.000035,1.090716,-1.756981,-0.001757
0.000035,1.093782,-1.760033,-0.001760
0.000035,1.096847,-1.763084,-0.001763
0.000035,1.099912,-1.766135,-0.001766
0.000035,1.102976,-1.769186,-0.001769
0.000035,1.106040,-1.772236,-0.001772
0.000036,1.109104,-1.775286,-0.001775
0.000036,1.112167,-1.778336,-0.001778
0.000036,1.115230,-1.781385,-0.001781
0.000036,1.118292,-1.784433,-0.001784
0.000036,1.121354,-1.787481,-0.001787
0.000036,1.124415,-1.790529,-0.001791
0.000036,1.127476,-1.793576,-0.001794
0.000036,1.130537,-1.796623,-0.001797
0.000036,1.133597,-1.799669,-0.001800
0.000036,1.136656,-1.802715,-0.001803
0.000037,1.139715,-1.805761,-0.001806
0.000037,1.142774,-1.808806,-0.001809
0.000037,1.145832,-1.811850,-0.001812
0.000037,1.148890,-1.814894,-0.001815
0.000037,1.151947,-1.817938,-0.001818
0.000037,1.155004,-1.820981,-0.001821
0.000037,1.158060,-1.824024,-0.001824
0.000037,1.161116,-1.827066,-0.001827
0.000037,1.164172,-1.830108,-0.001830
0.000037,1.167227,-1.833149,-0.001833
0.000038,1.170281,-1.836190,-0.001836
0.000038,1.173335,-1.839231,-0.001839
0.000038,1.176389,-1.842271,-0.001842
0.000038,1.179442,-1.845310,-0.001845
0.000038,1.182495,-1.848349,-0.001848
0.000038,1.185547,-1.851388,-0.001851
0.000038,1.188599,-1.854426,-0.001854
0.000038,1.191650,-1.857464,-0.001857
0.000038,1.194701,-1.860501,-0.001861
0.000039,1.197751,-1.863538,-0.001864
0.000039,1.200801,-1.866574,-0.001867
0.000039,1.203851,-1.869610,-0.001870
0.000039,1.206900,-1.872645,-0.001873
0.000039,1.209948,-1.875680,-0.001876
0.000039,1.212996,-1.878714,-0.001879
0.000039,1.216044,-1.881748,-0.001882
0.000039,1.219091,-1.884781,-0.001885
0.000039,1.222137,-1.887814,-0.001888
0.000039,1.225183,-1.890847,-0.001891
0.000039,1.228229,-1.893879,-0.001894
0.000040,1.231274,-1.896910,-0.001897
0.000040,1.234319,-1.899941,-0.001900
0.000040,1.237363,-1.902972,-0.001903
